age,job,marital,education,default,balance,housing,loan
51,admin.,married,tertiary,no,148,no,no
55,blue-collar,married,secondary,no,7160,yes,no
65,blue-collar,divorced,tertiary,no,2197,yes,no
25,admin.,married,secondary,no,6658,yes,no
36,services,married,secondary,no,1761,yes,no
52,self-employed,single,tertiary,no,1887,yes,yes
22,admin.,single,secondary,no,2456,yes,yes
31,technician,married,tertiary,no,87,no,no
25,blue-collar,married,secondary,no,3899,yes,yes
30,technician,married,tertiary,no,228,yes,no
52,technician,single,tertiary,no,801,yes,yes
57,blue-collar,single,secondary,no,510,yes,no
29,technician,single,secondary,no,209,yes,no
22,management,single,tertiary,yes,1970,no,no
42,unknown,married,secondary,no,1197,yes,no
39,services,married,tertiary,no,423,no,no
52,technician,divorced,tertiary,no,2666,no,yes
36,admin.,single,primary,no,2877,yes,no
34,technician,married,secondary,yes,223,no,no
28,admin.,divorced,secondary,no,1288,no,no
34,admin.,married,secondary,no,760,no,no
60,services,married,secondary,no,671,no,no
21,management,single,tertiary,no,91,yes,yes
29,admin.,married,secondary,no,266,yes,yes
34,technician,married,secondary,no,10581,yes,no
37,admin.,married,secondary,no,1759,yes,no
35,blue-collar,married,secondary,no,2274,yes,no
27,admin.,married,primary,no,-121,no,yes
37,admin.,single,unknown,no,482,no,yes
48,management,married,tertiary,no,2094,no,no
37,blue-collar,married,unknown,no,260,yes,no
37,blue-collar,married,secondary,no,-1136,no,no
25,technician,divorced,secondary,no,580,yes,yes
29,admin.,married,tertiary,no,1050,yes,yes
53,technician,single,primary,no,1396,no,yes
27,blue-collar,married,unknown,no,598,yes,no
57,management,divorced,secondary,no,1160,yes,no
28,services,single,secondary,yes,1699,no,no
29,services,single,tertiary,no,619,no,no
54,unemployed,married,secondary,yes,535,yes,no
47,self-employed,divorced,tertiary,no,9154,yes,no
42,blue-collar,divorced,secondary,no,1241,yes,no
35,technician,married,tertiary,no,1970,yes,no
42,technician,married,unknown,no,3762,no,no
37,services,single,secondary,no,466,no,no
30,technician,married,secondary,no,369,no,no
53,admin.,married,secondary,no,225,yes,yes
41,retired,married,secondary,no,401,yes,no
28,technician,married,secondary,no,1966,no,yes
44,blue-collar,married,secondary,no,440,yes,yes
50,blue-collar,married,secondary,no,314,no,no
38,management,married,secondary,no,436,no,no
28,blue-collar,married,tertiary,no,1171,yes,no
43,blue-collar,single,secondary,no,1897,yes,yes
24,blue-collar,divorced,tertiary,no,616,no,yes
35,unemployed,single,secondary,no,442,no,no
35,technician,single,tertiary,no,611,yes,yes
24,management,married,unknown,no,702,yes,no
29,blue-collar,divorced,unknown,no,433,no,yes
39,technician,married,secondary,no,441,no,yes
29,technician,married,secondary,no,-186,yes,yes
26,technician,married,tertiary,no,2164,yes,no
56,blue-collar,married,unknown,no,1243,yes,no
33,management,divorced,tertiary,no,1515,no,no
38,management,divorced,secondary,yes,264,yes,no
27,technician,married,secondary,no,-32,no,no
23,management,married,tertiary,no,1080,yes,no
32,blue-collar,married,primary,no,11928,yes,no
41,self-employed,single,secondary,no,4318,yes,no
40,blue-collar,married,secondary,no,665,yes,no
25,admin.,married,tertiary,no,532,no,yes
41,technician,divorced,primary,no,3825,yes,no
25,technician,married,tertiary,no,5191,yes,no
43,blue-collar,married,secondary,no,121,no,no
29,services,married,secondary,no,227,no,no
58,management,married,secondary,no,1401,no,no
46,technician,married,secondary,no,3631,no,yes
34,technician,divorced,secondary,no,435,yes,no
23,blue-collar,married,tertiary,yes,-27,yes,yes
31,self-employed,single,tertiary,no,304,yes,no
24,housemaid,married,secondary,no,6688,no,no
27,admin.,married,secondary,no,410,yes,no
37,technician,divorced,secondary,no,198,yes,yes
30,management,single,secondary,no,1166,yes,yes
52,retired,married,secondary,no,3308,no,yes
44,blue-collar,single,tertiary,no,4249,yes,no
26,blue-collar,married,tertiary,no,4024,yes,no
39,blue-collar,single,primary,no,11528,yes,no
34,services,married,secondary,no,17382,no,no
51,management,married,secondary,no,743,no,no
35,technician,single,secondary,no,189,yes,yes
42,retired,divorced,secondary,no,238,yes,no
25,technician,divorced,secondary,no,348,no,no
29,management,married,tertiary,no,-122,yes,no
41,retired,married,secondary,no,1994,yes,no
32,admin.,single,tertiary,no,-535,no,no
26,admin.,divorced,tertiary,no,122,no,no
48,admin.,single,tertiary,no,584,no,no
52,admin.,married,unknown,no,1792,yes,yes
46,entrepreneur,married,secondary,no,321,no,no
37,technician,married,secondary,no,-273,no,yes
29,management,single,tertiary,no,176,no,no
40,technician,married,tertiary,no,90,no,no
27,admin.,married,secondary,no,562,yes,no
34,technician,single,secondary,no,661,no,yes
28,self-employed,married,secondary,no,2563,no,no
30,services,divorced,secondary,no,2111,yes,no
42,blue-collar,single,tertiary,no,918,no,no
36,technician,divorced,tertiary,no,3,no,no
22,retired,married,tertiary,no,620,yes,no
62,technician,divorced,primary,no,653,no,no
57,retired,married,secondary,no,3205,yes,no
37,technician,married,tertiary,no,1187,no,no
38,technician,married,secondary,no,1034,no,no
22,blue-collar,married,secondary,no,1541,yes,no
53,blue-collar,married,tertiary,no,254,yes,no
43,technician,married,secondary,no,2956,yes,no
23,technician,married,secondary,no,684,yes,no
19,admin.,single,primary,no,123,no,no
35,blue-collar,married,unknown,no,643,no,no
50,admin.,married,tertiary,no,448,yes,no
27,services,single,secondary,no,3022,no,yes
38,admin.,divorced,secondary,no,4109,yes,no
27,services,divorced,tertiary,no,311,no,yes
22,management,married,secondary,no,5088,yes,yes
36,blue-collar,divorced,primary,no,1584,yes,no
35,blue-collar,married,tertiary,no,1204,yes,no
27,technician,married,secondary,no,3446,no,no
46,blue-collar,divorced,tertiary,no,26498,yes,no
28,admin.,single,secondary,no,-146,yes,no
41,technician,married,tertiary,no,265,yes,no
40,admin.,married,secondary,no,179,no,no
30,management,married,secondary,no,1347,yes,no
43,blue-collar,married,primary,no,2007,yes,no
43,blue-collar,married,tertiary,no,1047,no,yes
34,self-employed,divorced,primary,no,695,no,yes
30,blue-collar,married,tertiary,no,3526,no,no
28,blue-collar,married,unknown,no,1983,yes,no
48,technician,married,tertiary,no,165,yes,no
47,blue-collar,married,secondary,no,1872,no,no
33,blue-collar,married,tertiary,yes,1007,yes,yes
47,management,married,secondary,no,401,yes,no
39,management,married,secondary,no,2135,yes,no
27,blue-collar,single,tertiary,no,2919,yes,no
34,services,married,tertiary,no,1433,yes,no
42,blue-collar,married,primary,no,101,no,no
26,management,single,tertiary,no,497,yes,yes
23,admin.,married,primary,no,969,no,no
39,management,divorced,tertiary,no,272,yes,yes
40,blue-collar,divorced,primary,no,296,no,no
35,management,single,primary,no,343,no,no
23,management,single,tertiary,no,-303,yes,no
37,technician,divorced,secondary,no,496,no,no
29,blue-collar,married,tertiary,no,198,yes,no
23,self-employed,married,secondary,no,408,no,no
21,management,married,secondary,no,4159,no,yes
31,blue-collar,single,secondary,no,3821,no,no
48,admin.,single,secondary,no,-110,yes,no
33,blue-collar,married,secondary,no,149,yes,no
38,technician,divorced,tertiary,yes,715,yes,no
