contact,day,month,duration,campaign,pdays,previous,poutcome,y_bool
cellular,15,apr,263,2,-1,0,unknown,0
unknown,4,may,315,1,-1,0,unknown,0
cellular,12,may,102,2,-1,0,unknown,0
cellular,16,feb,197,1,-1,0,unknown,1
cellular,19,sep,177,1,-1,0,success,0
unknown,19,jun,56,1,-1,0,unknown,1
cellular,16,may,539,4,-1,0,unknown,1
cellular,11,apr,272,2,-1,0,unknown,1
unknown,5,may,401,2,-1,0,unknown,0
unknown,13,jun,107,1,-1,0,unknown,0
unknown,18,nov,552,10,-1,0,failure,0
cellular,22,apr,64,7,-1,0,unknown,0
cellular,1,apr,212,2,214,0,failure,0
unknown,29,jul,18,1,-1,0,unknown,1
cellular,3,nov,334,1,-1,0,failure,0
cellular,31,jul,107,1,-1,0,unknown,0
cellular,1,jul,154,2,-1,0,unknown,1
unknown,14,may,46,1,-1,0,unknown,1
cellular,17,jul,188,1,-1,0,unknown,1
cellular,10,nov,165,3,-1,0,unknown,0
cellular,17,feb,965,2,9,0,failure,0
cellular,10,mar,142,3,-1,0,unknown,1
telephone,20,feb,237,1,-1,0,unknown,1
cellular,4,mar,359,2,-1,0,unknown,0
unknown,1,nov,96,2,127,0,unknown,0
unknown,16,jul,114,1,-1,0,unknown,0
unknown,18,feb,32,2,-1,0,unknown,1
cellular,2,feb,108,2,-1,0,unknown,0
unknown,4,nov,213,2,-1,0,unknown,1
cellular,20,oct,181,1,-1,0,unknown,0
cellular,17,nov,1066,1,-1,0,unknown,0
unknown,3,jun,242,2,-1,0,unknown,0
cellular,12,apr,259,2,-1,0,unknown,1
cellular,18,jul,325,7,-1,0,other,1
telephone,6,may,197,2,-1,0,unknown,0
cellular,1,jul,403,1,-1,0,unknown,0
unknown,3,apr,48,1,-1,0,unknown,1
unknown,7,jul,141,3,-1,0,unknown,0
cellular,6,feb,220,2,-1,0,unknown,0
cellular,15,apr,267,4,-1,0,unknown,1
cellular,16,apr,18,3,-1,0,unknown,1
unknown,4,may,115,1,-1,0,unknown,1
cellular,27,jul,515,2,-1,0,unknown,1
unknown,8,jul,191,2,-1,0,unknown,0
cellular,22,jul,326,1,-1,0,unknown,1
telephone,7,jul,33,2,-1,0,unknown,0
unknown,4,nov,232,1,-1,0,unknown,0
cellular,17,jul,91,1,-1,0,unknown,0
telephone,14,jun,189,4,-1,0,unknown,0
cellular,20,aug,91,2,-1,0,unknown,1
cellular,7,may,106,3,-1,0,unknown,0
cellular,14,aug,302,1,-1,0,unknown,1
unknown,11,may,21,2,-1,0,unknown,1
cellular,5,aug,420,6,-1,0,failure,0
cellular,9,nov,33,1,-1,0,unknown,0
unknown,9,jul,100,1,16,0,failure,0
cellular,1,jul,127,2,-1,0,failure,0
cellular,3,jun,60,2,-1,0,unknown,1
cellular,5,nov,617,2,-1,0,unknown,0
cellular,4,feb,101,2,-1,0,unknown,0
cellular,3,jun,125,3,-1,0,unknown,0
cellular,7,jul,66,2,-1,0,unknown,0
cellular,5,jul,222,1,-1,0,unknown,0
cellular,31,jul,206,2,-1,0,failure,1
telephone,12,nov,611,1,-1,0,unknown,0
cellular,9,aug,373,1,-1,0,failure,1
cellular,1,may,162,2,-1,0,unknown,0
cellular,7,may,161,1,-1,0,unknown,0
cellular,22,feb,41,2,-1,0,failure,0
cellular,16,may,201,1,-1,0,unknown,0
cellular,13,aug,2206,2,-1,0,unknown,0
telephone,4,may,628,3,-1,0,success,1
cellular,9,jun,96,5,41,0,failure,0
cellular,17,may,7,3,-1,0,unknown,1
unknown,13,jun,296,1,51,0,unknown,0
unknown,12,apr,62,2,-1,0,unknown,1
unknown,1,nov,157,1,-1,0,failure,1
cellular,12,nov,374,6,-1,0,unknown,0
cellular,12,jun,227,2,-1,0,unknown,0
unknown,2,mar,205,1,-1,0,failure,1
cellular,28,apr,123,3,-1,0,unknown,0
cellular,3,apr,215,2,-1,0,unknown,1
cellular,17,may,300,1,-1,0,unknown,0
cellular,10,nov,98,7,-1,0,unknown,0
cellular,3,nov,343,1,-1,0,unknown,1
cellular,1,oct,81,2,-1,0,unknown,0
cellular,2,aug,104,2,-1,0,unknown,0
unknown,2,nov,1651,3,-1,0,unknown,0
cellular,18,may,76,4,-1,0,unknown,0
cellular,29,sep,546,1,-1,0,unknown,0
cellular,1,nov,163,4,-1,0,unknown,1
telephone,27,jul,72,2,-1,0,unknown,0
unknown,11,may,16,2,-1,0,unknown,0
cellular,11,jul,147,2,-1,0,unknown,1
unknown,1,may,66,1,-1,0,unknown,0
cellular,4,may,374,1,-1,0,unknown,0
unknown,2,jun,939,2,-1,0,success,0
unknown,14,may,91,2,-1,0,unknown,1
unknown,28,apr,301,2,-1,0,unknown,1
cellular,3,jun,300,1,-1,0,unknown,1
cellular,19,jun,937,2,-1,0,unknown,0
cellular,15,may,90,2,-1,0,unknown,0
unknown,6,jul,53,1,-1,0,unknown,1
cellular,10,may,533,1,-1,0,other,0
cellular,10,apr,12,2,-1,0,unknown,1
cellular,1,jun,694,2,83,0,unknown,0
unknown,7,jan,211,1,15,0,unknown,0
cellular,20,apr,46,2,-1,0,unknown,0
unknown,8,jul,94,2,-1,0,unknown,1
cellular,21,aug,377,2,29,2,unknown,1
cellular,6,apr,18,1,-1,0,failure,0
cellular,11,jun,428,2,32,0,unknown,0
cellular,3,nov,367,1,-1,0,failure,0
cellular,23,aug,639,1,-1,0,unknown,1
unknown,13,apr,121,2,-1,0,failure,0
cellular,9,jul,670,2,-1,0,unknown,0
telephone,20,aug,5,2,-1,0,failure,0
cellular,23,jan,404,2,-1,0,unknown,0
cellular,3,jul,2053,2,-1,0,unknown,0
cellular,16,jul,45,4,-1,5,unknown,1
unknown,6,jul,341,2,28,0,unknown,0
cellular,3,jan,384,1,-1,0,unknown,0
cellular,7,nov,209,1,-1,0,unknown,0
cellular,6,nov,9,4,-1,0,unknown,0
unknown,1,may,183,2,-1,0,other,0
cellular,9,may,206,2,-1,0,unknown,0
unknown,4,nov,180,1,-1,0,failure,0
unknown,8,jun,85,1,-1,0,failure,0
unknown,7,feb,167,3,-1,0,unknown,1
cellular,24,aug,225,1,-1,0,unknown,1
telephone,15,may,108,1,-1,0,failure,0
cellular,13,nov,294,2,31,0,unknown,0
cellular,3,feb,253,2,-1,0,unknown,1
telephone,10,jul,20,1,-1,0,unknown,1
cellular,14,jun,45,1,-1,0,unknown,0
unknown,13,nov,206,2,-1,0,unknown,0
cellular,17,jul,317,1,-1,0,failure,0
unknown,11,jun,227,1,-1,0,other,0
cellular,19,may,239,1,-1,0,failure,0
cellular,18,sep,55,2,-1,0,success,0
telephone,15,jul,406,2,-1,0,unknown,0
cellular,6,apr,193,2,-1,0,unknown,0
unknown,10,jul,137,2,-1,0,unknown,0
cellular,1,jul,260,1,-1,0,unknown,0
unknown,8,may,437,1,-1,0,failure,0
unknown,21,jun,116,2,-1,0,unknown,0
cellular,3,may,253,2,-1,0,unknown,1
cellular,2,may,173,2,-1,0,unknown,0
cellular,8,may,351,2,-1,0,failure,0
unknown,9,apr,607,2,178,0,failure,0
cellular,10,may,494,2,-1,0,failure,0
cellular,9,sep,171,2,-1,0,failure,1
unknown,3,jul,102,2,-1,0,unknown,1
cellular,12,jun,191,3,-1,0,unknown,0
unknown,21,apr,21,1,-1,0,unknown,0
cellular,14,aug,102,1,-1,0,other,0
unknown,8,jun,294,2,-1,0,unknown,0
cellular,7,nov,184,1,-1,0,unknown,0
unknown,3,may,96,1,-1,0,unknown,0
cellular,11,jul,181,2,-1,0,unknown,0
cellular,12,jun,828,2,-1,0,unknown,1
cellular,18,may,487,1,-1,0,unknown,0
cellular,19,may,143,1,-1,0,unknown,0
cellular,18,aug,167,1,-1,0,unknown,0
cellular,16,nov,256,3,-1,0,unknown,0
cellular,16,jul,1677,4,-1,0,unknown,0
cellular,16,mar,361,2,-1,0,unknown,0
unknown,15,jul,89,2,-1,1,unknown,0
cellular,3,may,237,2,-1,0,unknown,0
cellular,4,apr,166,2,-1,0,unknown,0
cellular,19,nov,79,3,-1,0,unknown,0
cellular,4,jul,9,2,-1,0,failure,1
cellular,9,may,262,1,-1,0,unknown,0
cellular,3,jul,127,1,-1,0,unknown,0
telephone,3,may,74,1,-1,0,unknown,1
cellular,9,nov,51,3,-1,0,unknown,1
cellular,5,nov,145,8,-1,0,unknown,1
cellular,18,aug,271,3,-1,0,unknown,0
cellular,6,jul,261,2,-1,0,unknown,0
cellular,15,nov,419,2,-1,0,unknown,0
unknown,7,may,174,1,163,0,unknown,0
cellular,7,apr,7,2,-1,0,failure,0
unknown,4,apr,318,1,-1,0,unknown,1
unknown,15,feb,75,2,-1,0,failure,0
cellular,9,jul,70,1,-1,0,unknown,0
unknown,3,may,331,2,-1,0,other,1
cellular,4,aug,24,2,-1,1,failure,0
cellular,31,jun,55,2,-1,0,unknown,0
cellular,29,may,161,2,-1,0,failure,0
unknown,2,mar,190,2,-1,0,unknown,1
cellular,6,jul,256,2,-1,0,failure,0
cellular,13,jul,1365,2,-1,0,unknown,0
unknown,11,may,310,2,-1,0,unknown,0
cellular,8,jul,11,2,-1,0,unknown,0
cellular,19,may,621,2,-1,0,failure,1
cellular,1,nov,239,3,-1,0,unknown,0
cellular,21,nov,145,3,10,0,unknown,1
unknown,15,feb,102,1,-1,0,failure,1
unknown,15,jul,1779,1,-1,0,unknown,1
cellular,16,feb,296,2,109,0,unknown,0
unknown,6,aug,299,2,-1,0,unknown,0
cellular,9,may,793,2,-1,0,unknown,0
unknown,1,jul,362,2,-1,0,unknown,0
unknown,1,jul,287,1,-1,0,unknown,1
telephone,14,may,538,3,-1,0,other,0
unknown,3,oct,50,1,-1,0,unknown,1
telephone,17,nov,83,2,-1,0,unknown,0
cellular,12,jul,130,2,-1,0,unknown,0
unknown,5,may,146,4,-1,0,unknown,0
cellular,10,may,275,1,243,0,unknown,0
cellular,18,nov,383,2,-1,0,unknown,0
cellular,8,may,142,2,-1,0,unknown,0
unknown,6,jul,484,1,-1,0,unknown,0
cellular,3,jun,533,1,-1,0,unknown,0
cellular,2,may,72,1,-1,0,unknown,0
cellular,12,aug,7,1,-1,0,unknown,0
unknown,4,aug,55,1,-1,0,failure,0
cellular,13,jul,1104,3,-1,0,failure,0
unknown,12,jul,111,1,-1,0,unknown,0
cellular,5,may,34,1,-1,0,success,1
telephone,30,jul,326,1,-1,0,unknown,0
cellular,4,nov,110,2,-1,0,unknown,1
unknown,12,oct,30,1,-1,0,unknown,0
cellular,16,jun,222,4,-1,0,failure,0
cellular,9,may,351,2,-1,0,unknown,0
cellular,1,jul,156,2,-1,0,unknown,0
